YEAR,STATE,daily_total,daily_matched,ann_total,ann_matched,daily_match_pct,ann_match_pct
2012,ID,98,64,86,63,65.31,73.26
2012,IL,911,686,981,613,75.3,62.49
2012,IN,972,813,966,788,83.64,81.57
2012,KS,1410,1186,1556,1176,84.11,75.58
2012,KY,1437,1164,1273,1081,81.0,84.92
2012,LA,594,391,523,372,65.82,71.13
2012,MA,147,114,145,109,77.55,75.17
2012,MD,476,417,445,392,87.61,88.09
2012,ME,93,86,98,85,92.47,86.73
2012,MI,499,329,513,329,65.93,64.13
2012,MN,798,659,1055,666,82.58,63.13
2012,MO,1001,746,1052,692,74.53,65.78
2012,MS,1044,657,777,583,62.93,75.03
2012,MT,371,230,295,224,61.99,75.93
2012,NC,1579,1238,1459,1178,78.4,80.74
2012,ND,301,265,391,264,88.04,67.52
2012,NE,762,671,867,640,88.06,73.82
2012,NH,123,112,142,117,91.06,82.39
2012,NJ,238,165,252,163,69.33,64.68
2012,NM,145,127,200,133,87.59,66.5
2012,NV,43,27,39,24,62.79,61.54
2012,NY,768,698,817,692,90.89,84.7
2012,OH,1089,891,1236,884,81.82,71.52
2012,OK,945,835,1058,828,88.36,78.26
2012,OR,63,40,69,43,63.49,62.32
2012,PA,935,819,1064,824,87.59,77.44
2012,RI,34,30,30,22,88.24,73.33
2012,SC,1054,882,1070,862,83.68,80.56
2012,SD,729,640,796,618,87.79,77.64
2012,TN,1062,809,1083,776,76.18,71.65
2012,TX,2295,1837,2485,1800,80.04,72.43
2012,UT,52,31,32,29,59.62,90.62
2012,VA,1367,1104,1171,1027,80.76,87.7
2012,VT,179,169,177,152,94.41,85.88
2012,WA,76,61,77,58,80.26,75.32
2012,WI,478,349,559,331,73.01,59.21
2012,WV,426,345,436,324,80.99,74.31
2012,WY,162,120,150,110,74.07,73.33
2012,XX,7,0,0,0,0.0,
2012,HI,0,0,11,0,,0.0
2012,PR,0,0,13,0,,0.0
2012,,0,0,24,0,,0.0
2013,AL,668,497,578,457,74.4,79.07
2013,AR,471,376,516,365,79.83,70.74
2013,AZ,135,94,127,83,69.63,65.35
2013,CA,66,42,56,39,63.64,69.64
2013,CO,381,338,400,327,88.71,81.75
2013,CT,95,72,85,68,75.79,80.0
2013,DC,7,0,0,0,0.0,
2013,DE,25,16,26,13,64.0,50.0
2013,FL,506,372,469,348,73.52,74.2
2013,GA,733,538,647,489,73.4,75.58
2013,IA,762,697,966,719,91.47,74.43
2013,ID,95,63,77,58,66.32,75.32
2013,IL,911,690,867,610,75.74,70.36
2013,IN,711,540,655,508,75.95,77.56
2013,KS,1441,1311,1719,1351,90.98,78.59
2013,KY,836,521,678,466,62.32,68.73
2013,LA,446,337,400,321,75.56,80.25
2013,MA,113,92,118,91,81.42,77.12
2013,MD,292,202,197,169,69.18,85.79
2013,ME,299,275,272,247,91.97,90.81
2013,MI,595,455,542,421,76.47,77.68
2013,MN,642,524,701,496,81.62,70.76
2013,MO,770,578,763,530,75.06,69.46
2013,MS,579,363,443,326,62.69,73.59
2013,MT,724,623,726,619,86.05,85.26
2013,NC,887,553,595,470,62.34,78.99
2013,ND,410,362,462,357,88.29,77.27
2013,NE,1044,871,1086,818,83.43,75.32
2013,NH,142,130,134,126,91.55,94.03
2013,NJ,138,116,138,98,84.06,71.01
2013,NM,189,166,257,175,87.83,68.09
2013,NV,99,52,57,43,52.53,75.44
2013,NY,779,720,800,707,92.43,88.38
2013,OH,1129,825,1164,797,73.07,68.47
2013,OK,1152,999,1180,966,86.72,81.86
2013,OR,105,80,74,66,76.19,89.19
2013,PA,957,800,992,763,83.59,76.92
2013,RI,3,3,4,4,100.0,100.0
2013,SC,574,482,569,476,83.97,83.66
2013,SD,858,723,935,700,84.27,74.87
2013,T,1,0,0,0,0.0,
2013,TN,642,367,578,344,57.17,59.52
2013,TX,1852,1554,1937,1482,83.91,76.51
2013,UT,100,69,82,63,69.0,76.83
2013,VA,748,546,526,460,72.99,87.45
2013,VT,151,144,141,130,95.36,92.2
2013,WA,135,60,79,55,44.44,69.62
2013,WI,485,339,487,324,69.9,66.53
2013,WV,279,183,263,178,65.59,67.68
2013,WY,368,322,430,307,87.5,71.4
2013,XX,3,0,0,0,0.0,
2013,HI,0,0,6,0,,0.0
